فى	6478790	0	catB
ان	2282204	0	catB
مش	1970631	103	catA
كل	1775626	199	catB
انا	1461356	0	catB
ده	1284167	85	catA
اللي	1253794	117	catB
ولا	1090348	181	catB
اللى	952504	0	catB
ايه	776449	0	catA
جدا	754427	172	catB
الى	738771	0	catB
التى	654464	0	catB
كده	607581	68	catA
لكن	595669	185	catB
عشان	590036	88	catA
دي	586742	165	catA
انه	498745	159	catB
الذى	485580	0	catB
حاجة	477737	146	catA
ممكن	465138	147	catB
حد	457769	165	catB
دى	420751	0	catA
ليه	384768	87	catA
علشان	367501	0	catA
يعني	363410	161	catA
هى	326475	0	catB
دا	324822	0	catA
كتير	320920	0	catA
كمان	320217	84	catA
زي	319878	118	catA
اى	304528	0	catB
لازم	299157	92	catB
الا	287995	0	catB
احنا	285851	0	catA
يعنى	281837	101	catA
اي	266700	0	catB
بقى	264061	85	catA
طبعا	259071	121	catB
عارف	245094	105	catA
وانا	244200	0	catB
مين	234117	0	catA
يبقى	230797	140	catA
زى	226858	0	catA
بجد	222963	107	catA
طيب	217137	141	catA
عايز	208371	0	catA
مفيش	195788	0	catA
يمكن	182371	192	catB
دة	178915	0	catA
كدة	178244	0	catA
انها	177558	0	catB
دول	165112	173	catA
تاني	163435	0	catB
اخر	159885	0	catB
شوية	159736	66	catA
خلاص	157575	85	catA
اذا	156823	0	catB
لسه	155654	0	catA
فين	155284	97	catA
كدا	140713	45	catA
طب	140616	130	catA
تانى	135756	0	catB
الان	130859	0	catB
خالص	126087	113	catA
هما	124672	140	catA
ايضا	123104	0	catB
معاك	121787	69	catA
اني	119702	0	catB
اوى	117594	0	catA
لى	115304	0	catB
انى	115047	0	catB
عنده	114224	115	catA
اكيد	113887	0	catB
معاه	113342	59	catA
عندك	113031	89	catA
بتاع	111559	0	catA
دلوقتي	108713	0	catA
شئ	101431	0	catB
عاوز	98315	0	catA
ياريت	98263	0	catA
دايما	98118	0	catB
عندنا	96360	104	catA
اية	95954	0	catA
معايا	94925	0	catA
ليك	92137	101	catA
حلو	90901	92	catA
اصلا	90742	0	catB
برضه	89448	34	catA
اوي	89159	0	catA
عندي	87670	110	catA
انتي	87492	67	catA
دلوقتى	86155	0	catA
اننا	85939	0	catB
محدش	85506	0	catA
ازاي	83020	0	catA
اه	81055	0	catB
بيقول	79771	0	catA
شويه	79529	45	catA
تانية	77657	0	catB
ازاى	76199	0	catA
يلا	75647	61	catA
شايف	74109	0	catA
لأ	71799	0	catB
جامد	69258	64	catA
انتى	68850	0	catA
ليها	68754	47	catA
حاجات	67980	104	catA
عايزين	67058	0	catA
اولا	65066	0	catB
ياعم	64648	0	catA
بلاش	64527	0	catA
اخرى	63785	0	catB
ليا	63374	88	catA
عندى	62064	0	catA
قوى	61700	132	catA
اهلا	61660	0	catB
النهاردة	60975	0	catA
للاسف	59171	0	catB
شىء	58207	0	catB
هيكون	57355	0	catA
امبارح	57225	0	catA
ازيك	54769	0	catA
معلش	51507	0	catA
عايزة	50615	0	catA
فاهم	49271	70	catA
ديه	47908	57	catA
لسة	46689	0	catA
بقا	45915	40	catA
معاها	43925	40	catA
عارفة	43462	51	catA
اهو	41565	28	catA
هيبقى	41190	0	catA
انتوا	40461	19	catA
ماشي	39826	60	catA
بكرة	39808	108	catA
بص	39462	0	catA
بكره	38883	48	catA
وحش	37820	96	catA
مكنش	35813	0	catA
برضو	35633	19	catA
انتو	34512	0	catA
ماشى	33889	1	catA
منين	32960	36	catA
عاوزين	32824	0	catA
بيعمل	32081	0	catA
ينفع	32064	88	catA
امتى	27984	0	catA
بتوع	27773	0	catA
امال	26462	0	catA
خليك	25974	43	catA
عمال	25314	132	catA
ايوه	25237	0	catA
ياض	24866	0	catA
بتاعك	24110	0	catA
بتاعة	23448	0	catA
دلوقت	20937	0	catA
ايوة	20296	0	catA
خلي	18877	64	catA
عاوزة	17596	0	catA
يالا	16000	49	catA
بتاعي	10347	0	catA
مبقاش	9371	0	catA
بتاعها	9240	0	catA
فاهمة	8278	1	catA
ازيكم	7706	0	catA
لسا	6998	0	catA
ايوا	6277	0	catA
اومال	5698	0	catA
اهى	4334	0	catA
اهي	4243	0	catA
اهه	3976	0	catA
ياللا	3199	0	catA
عاجبني	2890	0	catA
برضك	1592	0	catA
